Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level,,,,,,,,,,,,,,,,
college,3.05,2.08,1.01,82.57,8,5,3,0,,,,,,,,,,,,,,,,
working_student,4.86,7.11,7.73,67.49,2,6,2,0,,,,,,,,,,,,,,,,
college,5,3.47,4.45,92.81,5,8,3,0,,,,,,,,,,,,,,,,
college,5.92,7.03,3.21,87.41,7,5,2,0,,,,,,,,,,,,,,,,
college,7.57,5.78,4.23,80.87,4,6,10,0,,,,,,,,,,,,,,,,
college,7.14,4.13,3.83,83.39,5,6,10,0,,,,,,,,,,,,,,,,
college,5.59,6.29,8.37,84.7,5,6,10,0,,,,,,,,,,,,,,,,
school,7.11,2.91,4.81,77.86,9,7,10,1,,,,,,,,,,,,,,,,
college,5.31,2.18,4.43,79.8,4,2,10,0,,,,,,,,,,,,,,,,
working_student,7.27,3.73,5.92,83.35,5,10,3,0,,,,,,,,,,,,,,,,
school,7.13,2.93,3.88,83.17,4,6,5,0,,,,,,,,,,,,,,,,
school,7.88,5.2,4.68,81.58,3,8,10,0,,,,,,,,,,,,,,,,
school,7.1,4.7,1.43,86.54,8,3,8,1,,,,,,,,,,,,,,,,
Other,6.79,2.79,5.8,80.21,6,6,11,0,,,,,,,,,,,,,,,,
working_student,6.61,6.24,6.01,59.38,5,10,6,0,,,,,,,,,,,,,,,,
working_student,5.1,4.7,2.86,80.73,5,1,7,0,,,,,,,,,,,,,,,,
working_student,6.75,4,1.95,99.72,1,1,3,0,,,,,,,,,,,,,,,,
college,8.05,5.93,3.35,88.79,4,8,1,0,,,,,,,,,,,,,,,,
school,7.88,1.42,3.75,81.62,6,1,9,1,,,,,,,,,,,,,,,,
college,8.13,3.07,3.68,81.94,8,4,10,0,,,,,,,,,,,,,,,,
college,7.43,4.03,2.38,66.07,6,5,8,1,,,,,,,,,,,,,,,,
Other,7.32,3.12,7.37,71.56,8,4,4,0,,,,,,,,,,,,,,,,
college,6.04,3.49,4.55,97.33,6,1,10,1,,,,,,,,,,,,,,,,
working_student,3.8,8.16,2.01,87.29,6,6,9,1,,,,,,,,,,,,,,,,
working_student,6.46,11.57,0.23,93.81,8,6,2,1,,,,,,,,,,,,,,,,
school,6.48,2.96,1.91,90.76,9,2,7,1,,,,,,,,,,,,,,,,
working_student,6.04,6.39,2.92,79.11,3,5,8,0,,,,,,,,,,,,,,,,
working_student,6.46,4.11,0.71,90.82,5,2,9,0,,,,,,,,,,,,,,,,
college,6.35,4.94,2.55,85.61,5,10,9,0,,,,,,,,,,,,,,,,
college,5.98,4.77,4.11,89.68,5,4,7,0,,,,,,,,,,,,,,,,
college,4.49,5.2,2.64,53.44,5,8,4,0,,,,,,,,,,,,,,,,
college,7.29,5.55,1.29,81.94,2,4,1,0,,,,,,,,,,,,,,,,
school,6.97,1.55,5.36,85.74,5,8,2,0,,,,,,,,,,,,,,,,
school,8.15,3.25,3.13,91.29,3,7,9,0,,,,,,,,,,,,,,,,
working_student,5.17,5.13,5.66,89.69,9,6,4,1,,,,,,,,,,,,,,,,
working_student,3.48,6.76,4.02,92.88,3,3,4,0,,,,,,,,,,,,,,,,
college,8.48,2.15,3.52,96.04,9,7,5,0,,,,,,,,,,,,,,,,
college,6.37,2.09,2.91,80.77,7,7,6,0,,,,,,,,,,,,,,,,
working_student,5.95,6.62,3.56,105,6,3,5,0,,,,,,,,,,,,,,,,
working_student,7.56,9.22,2.74,68.86,9,9,9,1,,,,,,,,,,,,,,,,
working_student,6.55,5.97,1.43,80.52,5,8,2,0,,,,,,,,,,,,,,,,
school,8.25,0.79,1.9,88.74,7,6,9,0,,,,,,,,,,,,,,,,
school,6.42,3.55,2.49,73.57,4,6,2,0,,,,,,,,,,,,,,,,
college,4.92,9.31,0.99,82,9,1,6,1,,,,,,,,,,,,,,,,
working_student,5.35,3.91,2.69,67.55,3,8,11,0,,,,,,,,,,,,,,,,
school,6.56,3.23,0.01,76.27,8,5,8,1,,,,,,,,,,,,,,,,
college,7.21,5.46,1.25,73.99,7,6,6,1,,,,,,,,,,,,,,,,
college,6.42,5.46,4.48,59.98,5,4,7,0,,,,,,,,,,,,,,,,
working_student,6.33,7.85,2.54,80.11,2,4,6,0,,,,,,,,,,,,,,,,
college,7.8,4.7,2.3,79.6,4,8,3,0,,,,,,,,,,,,,,,,
college,4.87,5.32,2.53,63.79,9,4,6,1,,,,,,,,,,,,,,,,
college,6.46,2.52,3.56,78.69,8,4,9,0,,,,,,,,,,,,,,,,
college,4.31,6.32,2.09,95.48,4,7,3,0,,,,,,,,,,,,,,,,
working_student,6.58,10.84,2.74,87.01,6,2,11,1,,,,,,,,,,,,,,,,
working_student,3.94,9.7,4.5,85.62,9,4,6,1,,,,,,,,,,,,,,,,
school,5.82,2.45,0.91,68.22,9,9,10,0,,,,,,,,,,,,,,,,
school,5.88,4.7,4.4,71.85,8,6,1,1,,,,,,,,,,,,,,,,
college,4.84,6.68,2.04,77.87,2,5,1,0,,,,,,,,,,,,,,,,
school,7.51,4.19,6.31,88.99,5,2,10,0,,,,,,,,,,,,,,,,
college,7.64,0.1,3.92,87.13,6,4,7,1,,,,,,,,,,,,,,,,
college,6.35,6.47,3.56,80.82,6,6,11,0,,,,,,,,,,,,,,,,
school,7.06,2.88,0.92,89.82,9,10,6,0,,,,,,,,,,,,,,,,
working_student,7.29,5.8,2.23,82.01,9,6,2,1,,,,,,,,,,,,,,,,
college,6.48,3.72,3.56,81.93,8,7,8,1,,,,,,,,,,,,,,,,
college,8.63,4.7,0.22,87.24,7,9,3,0,,,,,,,,,,,,,,,,
working_student,8.59,3.8,1.16,92.61,4,4,4,0,,,,,,,,,,,,,,,,
college,7.52,5.7,2.92,81.94,10,9,7,0,,,,,,,,,,,,,,,,
school,8,4.42,4.41,97.5,6,7,4,0,,,,,,,,,,,,,,,,
college,6.43,9.54,2.39,78.61,3,7,12,0,,,,,,,,,,,,,,,,
college,4.45,4.7,3.56,71.7,5,9,7,0,,,,,,,,,,,,,,,,
college,7.22,4.24,3.72,81.84,5,5,9,0,,,,,,,,,,,,,,,,
college,5.62,7.93,4.54,92.5,10,7,4,1,,,,,,,,,,,,,,,,
working_student,7.11,7.52,9.22,87.87,1,7,7,0,,,,,,,,,,,,,,,,
working_student,5.8,11.97,4.29,87.59,9,4,8,1,,,,,,,,,,,,,,,,
college,4.59,2.86,5.89,99.41,2,4,8,0,,,,,,,,,,,,,,,,
college,8.41,3.98,3.58,69.95,7,7,2,0,,,,,,,,,,,,,,,,
college,7.77,0.91,2.39,87.57,2,6,2,0,,,,,,,,,,,,,,,,
college,4.66,3.4,1.83,81.94,7,7,12,0,,,,,,,,,,,,,,,,
college,6.58,6.2,5.19,86.3,3,6,12,0,,,,,,,,,,,,,,,,
college,7.06,1.19,1.15,85.33,5,5,3,0,,,,,,,,,,,,,,,,
school,9.16,3.61,4.06,98.27,5,8,6,0,,,,,,,,,,,,,,,,
school,7.92,3.08,0.08,77.48,9,2,10,1,,,,,,,,,,,,,,,,
college,5.24,1.67,4.36,66.9,6,5,10,1,,,,,,,,,,,,,,,,
working_student,3.31,5.81,0.51,89.8,5,8,9,0,,,,,,,,,,,,,,,,
school,6.46,3.28,5.94,71.98,2,8,8,0,,,,,,,,,,,,,,,,
college,7.186669863,2.698760351,6.240052753,-5,7,4,4,1,,,,,,,,,,,,,,,,
college,9.09,7.24,3.14,84.17,5,6,10,0,,,,,,,,,,,,,,,,
working_student,5.78,7.37,0.61,93.21,4,5,7,1,,,,,,,,,,,,,,,,
school,8.22,4.7,7.06,97.05,2,3,8,0,,,,,,,,,,,,,,,,
working_student,4.1,8,2.62,88.03,2,7,12,0,,,,,,,,,,,,,,,,
school,6.75,3.47,0.35,65.51,3,5,6,0,,,,,,,,,,,,,,,,
school,7.86,3.69,3.56,78.28,1,3,10,0,,,,,,,,,,,,,,,,
school,6.3,4.34,2,98.14,6,5,3,0,,,,,,,,,,,,,,,,
school,6.81,4.53,5.43,65.51,3,8,7,0,,,,,,,,,,,,,,,,
college,9.09,3.37,2.23,86.26,2,6,5,0,,,,,,,,,,,,,,,,
college,6.39,7.43,4.06,71.35,6,2,3,1,,,,,,,,,,,,,,,,
college,6.46,3.87,7.15,89.62,4,7,1,0,,,,,,,,,,,,,,,,
school,9.32,3.38,2.86,78.39,1,3,3,0,,,,,,,,,,,,,,,,
school,6.88,2.58,3.7,86.07,7,5,2,0,,,,,,,,,,,,,,,,
working_student,9.37,1.8,5.23,87.67,3,9,3,0,,,,,,,,,,,,,,,,
school,8.29,4.7,4.03,83.08,6,3,12,0,,,,,,,,,,,,,,,,
college,7.56,2.66,1.7,93.43,8,7,6,0,,,,,,,,,,,,,,,,
college,5.05,4.89,2.76,69.32,6,2,2,1,,,,,,,,,,,,,,,,
school,7.52,6.14,1.82,76.85,4,4,8,0,,,,,,,,,,,,,,,,
college,5.97,6.28,4.13,89.43,5,7,2,0,,,,,,,,,,,,,,,,
school,7.29,4.67,0.8,82.76,6,4,2,1,,,,,,,,,,,,,,,,
school,6.35,4.1,6.66,95.83,2,2,4,0,,,,,,,,,,,,,,,,
college,3.9,5.01,1.17,75.1,2,3,11,0,,,,,,,,,,,,,,,,
college,6.88,7.84,2.5,69.75,4,4,5,0,,,,,,,,,,,,,,,,
working_student,7.69,3.32,2.32,80.85,7,6,9,0,,,,,,,,,,,,,,,,
college,6.59,6.78,3.64,98.01,4,8,9,0,,,,,,,,,,,,,,,,
college,6.46,4.1,1.82,82.23,8,2,2,1,,,,,,,,,,,,,,,,
college,7.13,5.86,6.62,93.13,6,5,11,1,,,,,,,,,,,,,,,,
school,7.61,4.12,3.75,77.9,4,5,5,0,,,,,,,,,,,,,,,,
college,3.13,7.6,3.56,81.17,2,6,6,0,,,,,,,,,,,,,,,,
college,6.92,5.85,0.67,94.97,8,7,1,0,,,,,,,,,,,,,,,,
working_student,3.67,5.14,3.95,76.34,8,8,5,1,,,,,,,,,,,,,,,,
college,6.34,5.49,2.35,69.26,5,7,6,0,,,,,,,,,,,,,,,,
Other,8.63,2.79,6.91,78.11,3,6,6,0,,,,,,,,,,,,,,,,
school,6.75,2.89,2.3,62.36,7,3,9,0,,,,,,,,,,,,,,,,
college,7.72,4.76,1.01,78.95,5,7,9,0,,,,,,,,,,,,,,,,
college,8.99,2.74,2.68,90.3,5,7,4,0,,,,,,,,,,,,,,,,
working_student,6.46,7.39,3.67,69,8,4,11,1,,,,,,,,,,,,,,,,
working_student,3.7,10.83,3.6,95.05,4,7,1,1,,,,,,,,,,,,,,,,
college,6.46,4.19,5,63,5,5,5,0,,,,,,,,,,,,,,,,
college,7.64,5.76,3.33,72.45,8,2,10,0,,,,,,,,,,,,,,,,
college,8.9,4.06,2.76,71.69,3,5,4,0,,,,,,,,,,,,,,,,
school,4.86,5.27,3.56,64.07,8,8,8,1,,,,,,,,,,,,,,,,
school,8.85,1.48,5.68,75.4,9,8,12,0,,,,,,,,,,,,,,,,
school,7.52,3.48,4.44,86.75,3,3,7,0,,,,,,,,,,,,,,,,
working_student,4.5,5.68,3.47,59.65,6,6,1,0,,,,,,,,,,,,,,,,
working_student,5.16,8.81,0.62,82.68,10,6,4,1,,,,,,,,,,,,,,,,
college,6.33,3.69,1.97,88.7,7,6,3,1,,,,,,,,,,,,,,,,
school,7.17,3.31,0.59,98.92,2,9,7,0,,,,,,,,,,,,,,,,
working_student,5.65,8.14,1.62,69.43,4,5,6,0,,,,,,,,,,,,,,,,
school,5.88,5.27,5.38,63.1,6,7,12,0,,,,,,,,,,,,,,,,
school,8.46,1.48,2.93,74.36,1,7,7,0,,,,,,,,,,,,,,,,
Other,6.46,3.91,4.31,71.54,7,8,6,0,,,,,,,,,,,,,,,,
college,6.17,6.17,5.01,83.85,5,4,6,0,,,,,,,,,,,,,,,,
working_student,6.63,7.08,1.64,54.34,7,8,10,0,,,,,,,,,,,,,,,,
college,9.72,4.09,4.07,79.53,1,6,8,0,,,,,,,,,,,,,,,,
school,8.64,3.03,3.56,92.97,5,8,11,0,,,,,,,,,,,,,,,,
working_student,7.11,4.03,4.97,81.94,10,8,12,1,,,,,,,,,,,,,,,,
working_student,5.09,5.22,1.13,78.01,5,8,12,0,,,,,,,,,,,,,,,,
college,8.66,1.9,6.52,57.94,6,6,2,0,,,,,,,,,,,,,,,,
college,5.34,4.7,5.42,74.46,9,7,6,1,,,,,,,,,,,,,,,,
college,5.5,2.84,0.98,94.94,8,2,2,1,,,,,,,,,,,,,,,,
college,5.78,4.25,4.74,89.6,4,5,6,0,,,,,,,,,,,,,,,,
college,5.8,5.51,2.04,81.25,2,6,5,0,,,,,,,,,,,,,,,,
college,4.13,4.09,3.25,94,10,1,11,1,,,,,,,,,,,,,,,,
college,8.99,5.8,2.85,81.94,5,4,4,0,,,,,,,,,,,,,,,,
school,7.96,4.26,3.85,81.18,2,5,10,0,,,,,,,,,,,,,,,,
school,7.09,2.17,3.44,78.14,3,3,11,0,,,,,,,,,,,,,,,,
college,6.39,5.37,1.54,78.49,3,3,6,0,,,,,,,,,,,,,,,,
college,9.62,2.75,4.69,65.56,3,7,7,0,,,,,,,,,,,,,,,,
college,6.46,2.42,3.56,68.51,4,7,4,0,,,,,,,,,,,,,,,,
school,8.5,4.7,3.47,95.3,7,6,6,0,,,,,,,,,,,,,,,,
school,8.67,2.56,2.44,98.89,7,8,6,0,,,,,,,,,,,,,,,,
working_student,4.81,12.39,1.09,95.63,5,6,3,1,,,,,,,,,,,,,,,,
college,7.77,4.89,5.21,69.23,1,6,8,0,,,,,,,,,,,,,,,,
college,5.13,7.27,3.59,78.24,7,2,2,1,,,,,,,,,,,,,,,,
college,7.05,0.85,3.73,63.13,6,10,1,0,,,,,,,,,,,,,,,,
college,7.3,8.5,2.72,96.27,3,8,8,0,,,,,,,,,,,,,,,,
Other,7.13,7.59,1.21,75.88,6,9,4,1,,,,,,,,,,,,,,,,
college,5.77,5.59,4.72,86.1,8,6,12,1,,,,,,,,,,,,,,,,
college,6.46,7.37,2.83,73.78,6,9,1,0,,,,,,,,,,,,,,,,
working_student,5.11,4.25,1.99,50.35,5,5,12,1,,,,,,,,,,,,,,,,
school,8.99,3.22,2.33,68.66,5,5,10,0,,,,,,,,,,,,,,,,
school,4.87,4.81,7.77,77.48,6,6,9,0,,,,,,,,,,,,,,,,
school,9.13,1.03,6.88,79.52,4,7,5,0,,,,,,,,,,,,,,,,
college,6.46,1.53,3.63,64.25,3,4,5,0,,,,,,,,,,,,,,,,
college,7.61,4.61,5.53,74.71,6,10,7,0,,,,,,,,,,,,,,,,
school,7.28,2.97,5.27,71.25,7,10,11,1,,,,,,,,,,,,,,,,
college,3.68,4.67,1.94,66.29,4,8,3,0,,,,,,,,,,,,,,,,
school,9.31,2.63,2.73,68.82,8,6,2,0,,,,,,,,,,,,,,,,
school,7.97,3.3,4.4,84.95,3,4,11,0,,,,,,,,,,,,,,,,
school,6.45,2.78,4.72,66.26,3,6,5,0,,,,,,,,,,,,,,,,
college,6.46,3.69,4.51,93.67,10,7,1,1,,,,,,,,,,,,,,,,
college,7.5,3.73,3.34,82.2,6,2,2,0,,,,,,,,,,,,,,,,
college,6.01,4.85,5.39,84.89,2,4,1,1,,,,,,,,,,,,,,,,
college,7.78,4.7,5,86.57,7,6,7,0,,,,,,,,,,,,,,,,
college,4.46,4.7,1.86,86.07,7,6,11,0,,,,,,,,,,,,,,,,
college,6.94,4.44,2.33,91.72,1,5,7,0,,,,,,,,,,,,,,,,
college,5.73,3.85,4.03,84.26,3,10,1,0,,,,,,,,,,,,,,,,
school,6.42,3.76,7.51,77.14,8,7,7,0,,,,,,,,,,,,,,,,
college,2.96,6.41,3.56,99.82,6,4,9,1,,,,,,,,,,,,,,,,
school,7.7,5.82,1.55,81.94,3,7,7,0,,,,,,,,,,,,,,,,
school,9.02,3.61,4.76,120,8,6,7,1,,,,,,,,,,,,,,,,
school,6.46,2.92,3.84,73.57,8,5,5,0,,,,,,,,,,,,,,,,
school,7.89,3.07,0.27,93.72,5,8,6,0,,,,,,,,,,,,,,,,
Other,4.01,3.45,0.96,69.8,6,4,9,0,,,,,,,,,,,,,,,,
college,5.24,5.18,3.56,72.1,5,8,4,1,,,,,,,,,,,,,,,,
college,5.66,2.44,1.14,59.94,3,3,4,0,,,,,,,,,,,,,,,,
working_student,6.35,1.41,5.94,85.67,6,3,1,0,,,,,,,,,,,,,,,,
college,5.75,5.03,3.68,65.47,5,6,9,0,,,,,,,,,,,,,,,,
working_student,6.05,6.78,3.77,85.68,3,7,5,0,,,,,,,,,,,,,,,,
college,6,5.38,1.12,68.55,8,10,12,0,,,,,,,,,,,,,,,,
school,7.4,2.33,0.55,71.51,7,7,12,1,,,,,,,,,,,,,,,,
college,7.6,6.98,4.63,67.01,2,2,6,1,,,,,,,,,,,,,,,,
school,8.98,0.7,5.67,99.19,9,10,5,0,,,,,,,,,,,,,,,,
college,2.54,3.29,4.8,76.86,10,7,8,1,,,,,,,,,,,,,,,,
school,7.53,6.43,2.78,62.76,3,7,6,0,,,,,,,,,,,,,,,,
school,7.11,1.54,1.77,76.81,1,5,12,0,,,,,,,,,,,,,,,,
working_student,6.94,6.29,0.15,87.17,4,1,12,0,,,,,,,,,,,,,,,,
college,5.83,2.61,4.49,78.66,2,5,6,0,,,,,,,,,,,,,,,,
working_student,5.62,5.59,0.75,92.71,6,4,6,1,,,,,,,,,,,,,,,,
working_student,6.03,6.21,3.58,84.13,8,2,1,1,,,,,,,,,,,,,,,,
working_student,4.07,6.53,3.56,81.94,6,9,6,1,,,,,,,,,,,,,,,,
school,6.31,2.8,1.42,74.31,5,8,8,0,,,,,,,,,,,,,,,,
college,4.98,4.81,3.95,82.55,10,7,2,1,,,,,,,,,,,,,,,,
school,8,3.58,5.6,65.55,4,5,2,0,,,,,,,,,,,,,,,,
college,7.75,4.1,5.76,96.48,2,10,4,0,,,,,,,,,,,,,,,,
college,5.07,4.08,4.85,80.42,2,2,6,0,,,,,,,,,,,,,,,,
school,7.43,3.33,2.76,82.25,2,3,6,0,,,,,,,,,,,,,,,,
school,8.4,3.12,2.59,68.74,2,7,6,0,,,,,,,,,,,,,,,,
college,7.2,5.01,3.13,81.49,2,9,5,0,,,,,,,,,,,,,,,,
college,6.41,5.17,0.26,73.02,1,3,8,0,,,,,,,,,,,,,,,,
working_student,6.23,8.34,3.17,89.65,7,2,3,1,,,,,,,,,,,,,,,,
college,6.46,6.79,3.01,81.56,2,4,8,0,,,,,,,,,,,,,,,,
school,7.45,1.99,4.55,95.61,8,5,4,1,,,,,,,,,,,,,,,,
working_student,4.93,9.36,3.56,79.34,8,7,1,1,,,,,,,,,,,,,,,,
working_student,5.46,4.8,5.64,74.72,4,5,5,1,,,,,,,,,,,,,,,,
working_student,5.98,4.7,4.12,95.87,5,7,10,0,,,,,,,,,,,,,,,,
college,4.81,8.07,3.37,81.31,7,4,6,1,,,,,,,,,,,,,,,,
college,4.98,4.11,8.76,83.97,7,8,6,0,,,,,,,,,,,,,,,,
working_student,6.37,4.8,6.66,90.46,8,6,6,0,,,,,,,,,,,,,,,,
college,7.6,4.53,2.71,70.28,9,6,6,1,,,,,,,,,,,,,,,,
working_student,5.18,4.48,2.76,90.62,5,5,2,0,,,,,,,,,,,,,,,,
college,5.23,4.99,7.73,80.34,5,6,3,0,,,,,,,,,,,,,,,,
college,6.46,0.96,4.15,87.49,8,7,1,0,,,,,,,,,,,,,,,,
school,9.74,1.72,0.21,52.8,5,9,4,0,,,,,,,,,,,,,,,,
college,8.35,6.87,3.4,77.52,8,9,2,1,,,,,,,,,,,,,,,,
working_student,4.72,5.61,4.04,96.71,5,7,10,0,,,,,,,,,,,,,,,,
college,5.31,4.95,2.8,75,4,4,10,0,,,,,,,,,,,,,,,,
working_student,5.76,10.34,3.46,76.44,5,7,9,1,,,,,,,,,,,,,,,,
college,5.61,6.34,5.68,70.29,7,4,2,1,,,,,,,,,,,,,,,,
college,6.13,4.83,6.61,88.53,5,4,1,0,,,,,,,,,,,,,,,,
school,8.06,1.63,2.97,81.94,7,4,10,0,,,,,,,,,,,,,,,,
working_student,6.46,6.79,7.86,96.37,10,9,7,1,,,,,,,,,,,,,,,,
working_student,5.13,5.32,2.64,82.66,10,5,5,1,,,,,,,,,,,,,,,,
school,7.45,2.68,2.43,98.94,8,10,6,1,,,,,,,,,,,,,,,,
college,8.02,7.27,4.38,86.44,5,8,6,0,,,,,,,,,,,,,,,,
college,7.18,6.48,7.92,96.63,7,9,6,1,,,,,,,,,,,,,,,,
working_student,6.46,6.35,1.46,81.68,5,7,4,0,,,,,,,,,,,,,,,,
college,6.85,3.64,0.25,81.94,6,6,9,0,,,,,,,,,,,,,,,,
working_student,5.93,7.75,6.12,83.77,10,9,7,1,,,,,,,,,,,,,,,,
college,5.55,5.77,2.24,97.85,1,9,1,0,,,,,,,,,,,,,,,,
school,6.1,3.13,1.47,78.98,6,7,6,1,,,,,,,,,,,,,,,,
college,6.46,1.6,3.56,66.27,4,8,1,0,,,,,,,,,,,,,,,,
working_student,8.17,5.55,4.79,71.74,3,6,2,0,,,,,,,,,,,,,,,,
college,7.84,3.46,8.7,74.32,4,7,1,1,,,,,,,,,,,,,,,,
school,9.19,3.85,3.58,99.99,7,4,11,0,,,,,,,,,,,,,,,,
college,4.74,4.94,5.15,68.67,7,4,8,1,,,,,,,,,,,,,,,,
college,5.95,3.99,3.56,72.71,2,6,4,0,,,,,,,,,,,,,,,,
working_student,4.81,7.4,0.58,80.38,1,9,3,0,,,,,,,,,,,,,,,,
school,7.01,4.33,2.88,92.91,10,6,9,1,,,,,,,,,,,,,,,,
school,7.51,0.78,3.04,81.94,5,6,7,0,,,,,,,,,,,,,,,,
working_student,5.02,6.32,3.84,79.07,5,5,7,0,,,,,,,,,,,,,,,,
college,4.84,4.7,6.99,78.6,4,3,12,0,,,,,,,,,,,,,,,,
working_student,5.47,5.7,1.8,86.66,6,6,1,1,,,,,,,,,,,,,,,,
college,8.8,2.18,4.24,82.49,7,10,6,0,,,,,,,,,,,,,,,,
working_student,4.27,9.17,6.48,80,6,7,7,1,,,,,,,,,,,,,,,,
college,6.16,3.37,1.72,87.74,2,4,5,0,,,,,,,,,,,,,,,,
college,5.79,4.19,4.36,54.08,2,6,1,0,,,,,,,,,,,,,,,,
college,6.25,2.65,3.56,81.94,6,6,3,0,,,,,,,,,,,,,,,,
college,6.28,6.11,0.03,73.28,3,6,6,0,,,,,,,,,,,,,,,,
college,6.41,6.43,3.56,95.66,8,4,6,1,,,,,,,,,,,,,,,,
working_student,5.34,5.54,1.52,76.8,3,6,8,0,,,,,,,,,,,,,,,,
college,4.3,3.43,3.18,63.91,9,4,6,1,,,,,,,,,,,,,,,,
college,6.53,6.04,4.34,86.36,5,7,3,0,,,,,,,,,,,,,,,,
college,5.18,4.38,1.57,74.56,4,2,7,1,,,,,,,,,,,,,,,,
college,6.08,3.85,1,80.21,4,5,9,0,,,,,,,,,,,,,,,,
college,3.09,5.37,2.74,82.33,4,10,9,0,,,,,,,,,,,,,,,,
school,7.76,4.2,2.28,98.59,4,7,7,0,,,,,,,,,,,,,,,,
college,3.75,6.59,4.81,70.15,1,4,7,0,,,,,,,,,,,,,,,,
college,5.83,5.47,3.56,96.71,5,6,11,0,,,,,,,,,,,,,,,,
working_student,5.28,5.81,5.34,89.1,8,6,1,1,,,,,,,,,,,,,,,,
college,6.79,6.82,1.7,76.58,7,7,12,1,,,,,,,,,,,,,,,,
college,4.42,6.11,2.03,92.41,6,9,5,1,,,,,,,,,,,,,,,,
working_student,6.46,7.36,4.32,93.96,7,5,5,0,,,,,,,,,,,,,,,,
working_student,5.04,2.7,3.37,74.31,1,5,11,0,,,,,,,,,,,,,,,,
working_student,4.44,9.4,3.56,80.48,2,8,9,0,,,,,,,,,,,,,,,,
college,5,7.49,0.57,75.78,9,6,2,1,,,,,,,,,,,,,,,,
college,7.47,8.09,7.4,82.84,5,6,12,1,,,,,,,,,,,,,,,,
working_student,3.96,5.42,4.67,85.44,5,2,6,0,,,,,,,,,,,,,,,,
college,7.38,2.06,1.25,85.45,2,5,8,0,,,,,,,,,,,,,,,,
college,4.6,7.78,3.7,74.08,5,4,6,1,,,,,,,,,,,,,,,,
college,5.86,7.42,5.4,84.11,7,7,5,0,,,,,,,,,,,,,,,,
college,6.9,5.48,3.14,79.62,5,4,4,0,,,,,,,,,,,,,,,,
college,6.82,3.07,0.75,69.81,5,8,6,0,,,,,,,,,,,,,,,,
college,7.79,5.27,5.04,87.83,2,3,5,0,,,,,,,,,,,,,,,,
college,4.13,7.5,1.24,93.8,1,7,2,0,,,,,,,,,,,,,,,,
college,6.12,7.36,5.24,90.19,5,10,6,0,,,,,,,,,,,,,,,,
school,9.04,3.1,8.84,71.79,8,7,4,1,,,,,,,,,,,,,,,,
school,6.66,2.32,6.51,81.25,7,6,10,1,,,,,,,,,,,,,,,,
college,8.55,9.7,3.93,81.94,10,5,6,1,,,,,,,,,,,,,,,,
college,8.49,4.29,2.89,86.74,5,6,5,0,,,,,,,,,,,,,,,,
college,7.03,5.93,0.89,84.19,7,3,5,1,,,,,,,,,,,,,,,,
working_student,3.54,4.7,1.25,74.22,6,9,5,1,,,,,,,,,,,,,,,,
working_student,6.36,4.42,0.48,70.24,8,6,4,0,,,,,,,,,,,,,,,,
working_student,7.18,6.77,2.86,63.75,6,9,8,0,,,,,,,,,,,,,,,,
college,6.46,5.81,0.13,98.91,5,5,5,0,,,,,,,,,,,,,,,,
working_student,6.19,7.06,6.43,77.13,8,4,2,1,,,,,,,,,,,,,,,,
college,4.92,1.93,2.97,74.59,10,6,1,1,,,,,,,,,,,,,,,,
college,6.68,4.31,3.38,68.71,1,7,5,0,,,,,,,,,,,,,,,,
college,6.81,2.38,3.94,97.7,6,3,9,0,,,,,,,,,,,,,,,,
school,5.5,3.33,3.56,54.65,5,9,6,0,,,,,,,,,,,,,,,,
college,7.32,1.42,4.27,82.67,5,7,1,0,,,,,,,,,,,,,,,,
working_student,2.42,5.85,0.41,62.18,4,8,3,0,,,,,,,,,,,,,,,,
college,3.64,2.93,6.39,79.23,6,2,12,1,,,,,,,,,,,,,,,,
school,6.88,4.7,2.19,91.19,4,9,3,0,,,,,,,,,,,,,,,,
school,8.22,5.52,6.49,74.33,1,6,3,0,,,,,,,,,,,,,,,,
school,8.06,3.41,5.56,74.91,5,7,2,0,,,,,,,,,,,,,,,,
school,8.96,2.8,4.69,83.84,5,7,2,0,,,,,,,,,,,,,,,,
working_student,5.55,7.73,5.61,95.47,5,6,7,1,,,,,,,,,,,,,,,,
college,6.25,6.68,1.04,90.68,8,7,12,0,,,,,,,,,,,,,,,,
college,2.21,1.32,5,63.78,7,2,5,0,,,,,,,,,,,,,,,,
working_student,5.67,3.82,2.59,66.14,6,3,6,0,,,,,,,,,,,,,,,,
college,3.73,10.28,3.24,76.88,1,5,8,1,,,,,,,,,,,,,,,,
working_student,5.52,4.96,1.45,86.27,5,5,10,0,,,,,,,,,,,,,,,,
working_student,6.46,9.28,4.02,97.29,4,8,8,1,,,,,,,,,,,,,,,,
college,6.46,3.26,4,95.01,2,3,5,0,,,,,,,,,,,,,,,,
college,5.81,4.9,5.28,73.5,6,3,3,0,,,,,,,,,,,,,,,,
working_student,4.2,9.31,5.54,97.77,2,5,11,1,,,,,,,,,,,,,,,,
college,5.76,6.55,5.02,96.39,8,7,11,0,,,,,,,,,,,,,,,,
school,6.12,3.38,3.56,75.85,10,4,5,1,,,,,,,,,,,,,,,,
college,7.47,0.56,2.69,89.89,7,6,6,0,,,,,,,,,,,,,,,,
college,6.81,5.97,5.82,91.63,6,4,9,0,,,,,,,,,,,,,,,,
